2025-12-18 19:05:40 [info     ] Starting moderation bot...
2025-12-18 19:05:40 [info     ] Bot is starting with polling...
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=1916444323
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=8104237358
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=8104237358
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=5540547711
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=8104237358
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=8104237358
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=5540547711
2025-12-18 19:05:40 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=5540547711
2025-12-18 19:06:56 [info     ] Announcement sent              admin=8104237358 chat_id=-1002801965105 message='This is a test announcement from Mr Yunks'
2025-12-18 19:07:25 [debug    ] Tracked activity               chat_id=-1002801965105 user_id=8104237358
